,tweet_id,timestamp,tweet_text
0,1237747095349624834,2020-03-11 14:27:58,i do not personally know anyone panicking over coronavirus yet keep seeing all these articles asking people to stop panicking.  #panic #coronavirus
1,1237745609504776192,2020-03-11 14:22:04,there is only one thing that makes a dream impossible to achieve: the fear of failure. - paul coelho  - the alchemist #fear #quotes
2,1237699143876911104,2020-03-11 11:17:25,fear forces you into survival mode and that’s exactly where the enemy wants you.  let faith arise.  #faith #fear
3,1237696744433037313,2020-03-11 11:07:53,why did i watch outbreak and contagion at the height of the corona out break!  #scared
4,1237681870361550848,2020-03-11 10:08:47,no entire country in the history of time has ever quarantined itself because of the annual flu season. 😷 #coronavirus #panic
5,1237654550208708608,2020-03-11 08:20:13,why oh why as i get older am i so terrified of the dentist #ratherbeanywhereelse #help #scared
6,1237642628247638016,2020-03-11 07:32:51,spitting in public should be illegal ‼️‼️‼️ #covid #coronavirus #scare
7,1237639233826959361,2020-03-11 07:19:22,"crap, no tweets this morning explaining how to wash my hands, and i forgot the procedure overnight. #panic"
8,1237614614357016577,2020-03-11 05:41:32,going to vegas tm and right when you think corona virus could not get any worse mm announced they are shutting their buffets down #panic
9,1237613479474778118,2020-03-11 05:37:01,what should we panic over first the lack of needed items gone from the stores or the illness that's driving the panic pushing it ever more forward or the proven truth that our government is not prepared for any of this #panic
10,1237584755052277761,2020-03-11 03:42:53,"my diary shows how life was during the war and how we all survived, for example how we got food, water, power, clothes and other necessities.  life during the war was very scary because could hear bombs and fights all through the night. #scared"
11,1237563605622484995,2020-03-11 02:18:51,lesson of the day: do wash your hands and avoid crowded places.  do not start reading about the 1919 flu pandemic. #panic #covid19
12,1237554016193658881,2020-03-11 01:40:44,i am really getting sick of this #coronavirus ruining everything #covid19 #panic
13,1237508095259148288,2020-03-10 22:38:16,"also, am i wrong for not buying 7 cases of water? wo not these people’s sinks still work even if they get quarantined? #panic #coronavirus"
14,1237489280676585472,2020-03-10 21:23:30,people in our state are complaining about how people are stocking up on toilet paper and water but i am over here worried about how i am going to make rent if they quarantine us because we are barely making ends meet so we have no stock pile either  #parents2 #coronavirus #panic
15,1237462043344715776,2020-03-10 19:35:16,"just panic bought a chinese, asked for it to be panic delivered so i can panic eat it #panic"
16,1237456156215435264,2020-03-10 19:11:53,sneezy the dwarf laid off as panic spreads. disney down to six. details at 11. #panic #coronavirusupdate
17,1237429311210000385,2020-03-10 17:25:12,nothing in life is to be feared; it is only to be understood. now is the time to understand more so that we may fear less. -marie curie  #panic #quoteoftheday
18,1237426368620740610,2020-03-10 17:13:31,"everyone is so worried about this week's full moon, and friday the 13th, the stock market crash, and the pandemic. i say to stay calm and take it one day at a time. if we can just make it to sunday and the ides of march, we will be a-okay! #fullmoon #pandemic #panic"
19,1237415638261350401,2020-03-10 16:30:52,"as equinox nears cold, snow begin to panic - stop touching faces #haikuchallenge #panic"
20,1237415026115280896,2020-03-10 16:28:26,"in the chaos of economy, do not let the humanity fade: #randomthoughts #fear #fadinghumanity"
21,1237413419432599552,2020-03-10 16:22:03,i have accepted fear as part of life  specifically the fear of change. i have gone ahead despite the pounding in the heart that says: turn back. - erica long #fear #quotes
22,1237407617766604802,2020-03-10 15:59:00,the video is not manipulated. every original version is the same. it really does not matter bien does not have a chance and he knows it. he is a very bad actor and knows it is time to pay the piper.  #panic
23,1237379385755226113,2020-03-10 14:06:49,america is gripped by fear.  that’s why guns are sold at an alarming rate. fear. that’s why there’s a run on toilet paper and water. they voted that fear machine in office; so they have a reason to live - otherwise they face that they are poor and scared. #poor #scared #americans
24,1237377860379295751,2020-03-10 14:00:45,the media has a huge responsibility to keep the public informed about #coronavirus outbreak but it also has the responsibility not to create a state of fear. #panic #health
25,1237323167955378176,2020-03-10 10:23:26,"2. the media is hyping this up in what is -- golly gee -- an election year in the us, so panic must be created to blame on the current white house occupant. see how this works, kiddies? i swear, if the ism told me the sky was blue, I would start to reason it was red. #covid19 #panic"
26,1237311787734839296,2020-03-10 09:38:12,2020 is the most fucked up year i have ever lived through. it's actually insanity how people are behaving these days. #fear
27,1237277857799258113,2020-03-10 07:23:23,"how many people die of hunger every day? the fao estimates that as many as 25,00 people lose their lives every day as a result of hunger. that adds up to roughly 9.1 million people who die of starvation each year. #covid19 #panic #propagandavirus"
28,1237175239416647682,2020-03-10 00:35:37,we are all going to die poor. #coronavirus #panic
29,1237136838558732288,2020-03-09 22:03:01,"first corona virus, now brandon gets a starter question wrong. #panic"
30,1237126708496609281,2020-03-09 21:22:46,funny how the media are not highlighting the age and those with underlying health problems that have died from coronavirus. plus how many thousands of individuals that have actually recovered from the virus? #covid2019 #panic
31,1237124347053010945,2020-03-09 21:13:23,i suspect one of the reasons people panic when a catastrophe is looming is because they believed it could never happen to them. the reality that it really could happen to them shatters their delusion and sends them into a panic.  #coronavirus #panic
32,1237115552335831042,2020-03-09 20:38:26,"stocks had worst single day since 2008. dow jones industrial average fell 2014 points, or 7.8%, while s ;p 500 fell 7.6% and nasdaq dropped 7.3%. us stocks fell hard enough after the open to trigger a 15-minute trading #halt  #fear #stocks"
33,1237109942907056133,2020-03-09 20:16:09,i thought i heard this dude say i have never had this bad of a cough and i literally almost broke out running. he said cost. #corona #panic #flightallday
